id;gen;sp;ssp;en;rec;cnt;loc;lat;lng;alt;type;url;file;file-name;time;date;Scientifique_name;Species;Number_recording;Nb_with_others;Nb_with_loc;Nb_with_cnt;order;family;genus
612241;Hypocnemis;cantator;;Guianan Warbling Antbird;Fabrice Schmitt;Guyana;Guianan-Cock-of-the-Rock Lek Trail;4.1888;-58.989;90;song;//xeno-canto.org/612241;https://xeno-canto.org/612241/download;XC612241-Guianan Warbling-Antbird_Surama_Guy_01fev2015_FSchmitt.mp3;07:00;01/02/2015;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
600092;Hypocnemis;cantator;;Guianan Warbling Antbird;Felipe Arantes;Brazil;Saracá Taquera National Forest,  State of Pará;-1.66;-56.603;170;call, song;//xeno-canto.org/600092;https://xeno-canto.org/600092/download;XC600092-Hypocnemis cantator 050.mp3;08:00;22/10/2020;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
525570;Hypocnemis;cantator;;Guianan Warbling Antbird;Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt);Colombia;PNN Chiribiquete, cunaré- Amú;0.2130556;-72.4236111;350;;//xeno-canto.org/525570;https://xeno-canto.org/525570/download;XC525570-x_IAvH-CSA-6628.mp3;?;02/01/2001;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
525372;Hypocnemis;cantator;;Guianan Warbling Antbird;Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt);Colombia;PNN Chiribiquete, cunaré- Amú;0.2119444;-72.4175;350;;//xeno-canto.org/525372;https://xeno-canto.org/525372/download;XC525372-x_IAvH-CSA-6237.mp3;?;02/01/2001;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
520034;Hypocnemis;cantator;;Guianan Warbling Antbird;Rolf A. de By;Suriname;access rd to Brownsweg summit and HQ, Brokopondo District;4.9539;-55.1822;460;song;//xeno-canto.org/520034;https://xeno-canto.org/520034/download;XC520034-RDBPARA-446_2019-08-06_06h53_GuiananWarblingAntbird_song.mp3;06:53;06/08/2019;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
518900;Hypocnemis;cantator;;Guianan Warbling Antbird;Rolf A. de By;Suriname;Fredberg logging road, Sipaliwini;4.6413;-55.4302;90;song;//xeno-canto.org/518900;https://xeno-canto.org/518900/download;XC518900-RDBPARA-354_2019-07-28_06h56_GuiananWarblingAntbird_song.mp3;06:56;28/07/2019;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
504602;Hypocnemis;cantator;;Guianan Warbling Antbird;Juha Honkala;Brazil;Ramal Pau de Rosa, Manaus, Amazonas;-2.8498;-60.0664;90;female, male, song;//xeno-canto.org/504602;https://xeno-canto.org/504602/download;XC504602-LS110816 Guianan Warbling Antbird kn duet Pau Rosa.mp3;08:00;23/03/2019;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
468937;Hypocnemis;cantator;;Guianan Warbling Antbird;Felipe Arantes;Brazil;Presidente Figueiredo, Amazonas;-2.028;-59.997;150;song;//xeno-canto.org/468937;https://xeno-canto.org/468937/download;XC468937-Hypocnemis cantator-Pres.Figuei-Felipe Arantes.mp3;07:30;25/07/2015;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
463682;Hypocnemis;cantator;;Guianan Warbling Antbird;Bram Vogels;Suriname;Boven Suriname, Sipaliwini;4.628;-55.42;80;song;//xeno-canto.org/463682;https://xeno-canto.org/463682/download;XC463682-Guianan warbling antbird 190220 Fredberg.mp3;00:00;20/02/2019;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
417784;Hypocnemis;cantator;;Guianan Warbling Antbird;GABRIEL LEITE;Brazil;Itacoatiara, Itacoatiara, Amazonas;-3.2279;-58.9924;20;song;//xeno-canto.org/417784;https://xeno-canto.org/417784/download;XC417784-Hypocnemis cantator_Novo remanso_1040.mp3;06:30;29/05/2018;Hypocnemis cantator;Alapi carillonneur;48;54;46.0;48.0;Passeriformes;Thamnophilidae;Hypocnemis
